,date,symbol
4982,2025-01-09,TCS
4983,2025-01-09,TATAELXSI
4984,2025-01-10,CESC
4985,2025-01-11,DMART
4986,2025-01-13,ANGELONE
4987,2025-01-13,HCLTECH
4988,2025-01-14,HDFCAMC
4989,2025-01-15,OFSS
4990,2025-01-15,HDFCLIFE
4991,2025-01-15,LTTS
4992,2025-01-16,INFY
4993,2025-01-16,HAVELLS
4994,2025-01-16,AXISBANK
4995,2025-01-16,LTIM
4996,2025-01-16,RELIANCE
4997,2025-01-17,SBILIFE
4998,2025-01-17,JIOFIN
4999,2025-01-17,WIPRO
5000,2025-01-17,TECHM
5001,2025-01-17,INDHOTEL
5002,2025-01-17,ICICIGI
5003,2025-01-18,KOTAKBANK
5004,2025-01-18,RBLBANK
5005,2025-01-18,CANFINHOME
5006,2025-01-20,PAYTM
5007,2025-01-20,APLAPOLLO
5008,2025-01-20,LTF
5009,2025-01-20,MCX
5010,2025-01-20,IRFC
5011,2025-01-20,OBEROIRLTY
5012,2025-01-20,DIXON
5013,2025-01-20,ZOMATO
5014,2025-01-20,SUPREMEIND
5015,2025-01-21,DALBHARAT
5016,2025-01-21,ICICIPRULI
5017,2025-01-21,KEI
5018,2025-01-21,INDIAMART
5019,2025-01-22,POLYCAB
5020,2025-01-22,HDFCBANK
5021,2025-01-22,COFORGE
5022,2025-01-22,HUDCO
5023,2025-01-22,PIDILITIND
5024,2025-01-22,PERSISTENT
5025,2025-01-22,HINDUNILVR
5026,2025-01-22,TATACOMM
5027,2025-01-22,BPCL
5028,2025-01-23,CYIENT
5029,2025-01-23,DRREDDY
5030,2025-01-23,ULTRACEMCO
5031,2025-01-23,ADANIENSOL
5032,2025-01-23,IEX
5033,2025-01-23,ADANIGREEN
5034,2025-01-23,MPHASIS
5035,2025-01-23,UNITDSPR
5036,2025-01-23,INDUSTOWER
5037,2025-01-23,SONACOMS
5038,2025-01-23,SYNGENE
5039,2025-01-23,HINDPETRO
5040,2025-01-24,TORNTPHARM
5041,2025-01-24,GRANULES
5042,2025-01-24,LAURUSLABS
5043,2025-01-24,JSWSTEEL
5044,2025-01-24,DLF
5045,2025-01-24,GODREJCP
5046,2025-01-24,AUBANK
5047,2025-01-24,BANKINDIA
5048,2025-01-24,INDIGO
5049,2025-01-24,SHRIRAMFIN
5050,2025-01-24,ATUL
5051,2025-01-25,BALKRISIND
5052,2025-01-25,NTPC
5053,2025-01-25,CDSL
5054,2025-01-25,ICICIBANK
5055,2025-01-25,YESBANK
5056,2025-01-25,JKCEMENT
5057,2025-01-25,IDFCFIRSTB
5058,2025-01-25,LODHA
5059,2025-01-27,CANBK
5060,2025-01-27,PETRONET
5061,2025-01-27,IOC
5062,2025-01-27,UNIONBANK
5063,2025-01-27,COALINDIA
5064,2025-01-27,ACC
5065,2025-01-27,ATGL
5066,2025-01-27,FEDERALBNK
5067,2025-01-27,PEL
5068,2025-01-27,IGL
5069,2025-01-27,TATASTEEL
5070,2025-01-28,JSWENERGY
5071,2025-01-28,TVSMOTOR
5072,2025-01-28,EXIDEIND
5073,2025-01-28,CGPOWER
5074,2025-01-28,BOSCHLTD
5075,2025-01-28,BHEL
5076,2025-01-28,CIPLA
5077,2025-01-28,SBICARD
5078,2025-01-28,MGL
5079,2025-01-28,GMRAIRPORT
5080,2025-01-28,COLPAL
5081,2025-01-28,M&MFIN
5082,2025-01-28,BAJAJ-AUTO
5083,2025-01-29,CAMS
5084,2025-01-29,JSL
5085,2025-01-29,MARUTI
5086,2025-01-29,SRF
5087,2025-01-29,BAJFINANCE
5088,2025-01-29,AMBUJACEM
5089,2025-01-29,KPITTECH
5090,2025-01-29,INDIANB
5091,2025-01-29,VOLTAS
5092,2025-01-29,TATAMOTORS
5093,2025-01-30,PRESTIGE
5094,2025-01-30,SHREECEM
5095,2025-01-30,KALYANKJIL
5096,2025-01-30,TATACONSUM
5097,2025-01-30,LALPATHLAB
5098,2025-01-30,BIOCON
5099,2025-01-30,NAVINFLUOR
5100,2025-01-30,PHOENIXLTD
5101,2025-01-30,ASTRAL
5102,2025-01-30,BANKBARODA
5103,2025-01-30,ADANIENT
5104,2025-01-30,GAIL
5105,2025-01-30,MAXHEALTH
5106,2025-01-30,DABUR
5107,2025-01-30,BAJAJFINSV
5108,2025-01-30,ADANIPORTS
5109,2025-01-30,CONCOR
5110,2025-01-30,LT
5111,2025-01-30,BEL
5112,2025-01-30,COROMANDEL
5113,2025-01-30,POLICYBZR
5114,2025-01-30,JINDALSTEL
5115,2025-01-31,NESTLEIND
5116,2025-01-31,UPL
5117,2025-01-31,SUNPHARMA
5118,2025-01-31,CHOLAFIN
5119,2025-01-31,ONGC
5120,2025-01-31,BANDHANBNK
5121,2025-01-31,IRB
5122,2025-01-31,INDUSINDBK
5123,2025-01-31,VEDL
5124,2025-01-31,LICHSGFIN
5125,2025-01-31,PNB
5126,2025-01-31,MARICO
5127,2025-01-31,CUB
5128,2025-01-31,POONAWALLA
5129,2025-02-01,AARTIIND
5130,2025-02-03,TIINDIA
5131,2025-02-03,DIVISLAB
5132,2025-02-03,HFCL
5133,2025-02-03,ABCAPITAL
5134,2025-02-03,POWERGRID
5135,2025-02-03,TATACHEM
5136,2025-02-04,ASIANPAINT
5137,2025-02-04,MFSL
5138,2025-02-04,TORNTPOWER
5139,2025-02-04,GODREJPROP
5140,2025-02-04,METROPOLIS
5141,2025-02-04,TITAN
5142,2025-02-04,TATAPOWER
5143,2025-02-05,PAGEIND
5144,2025-02-05,ABBOTINDIA
5145,2025-02-05,SOLARINDS
5146,2025-02-05,CUMMINSIND
5147,2025-02-05,NAUKRI
5148,2025-02-05,ZYDUSLIFE
5149,2025-02-05,GUJGASLTD
5150,2025-02-06,NMDC
5151,2025-02-06,RECLTD
5152,2025-02-06,BHARTIARTL
5153,2025-02-06,ITC
5154,2025-02-06,APOLLOTYRE
5155,2025-02-06,BSE
5156,2025-02-06,BRITANNIA
5157,2025-02-06,TRENT
5158,2025-02-06,MRF
5159,2025-02-06,CHAMBLFERT
5160,2025-02-06,SBIN
5161,2025-02-06,NCC
5162,2025-02-06,PVRINOX
5163,2025-02-06,HEROMOTOCO
5164,2025-02-06,RAMCOCEM
5165,2025-02-06,AUROPHARMA
5166,2025-02-06,PIIND
5167,2025-02-07,SUNTV
5168,2025-02-07,M&M
5169,2025-02-07,ALKEM
5170,2025-02-07,DELHIVERY
5171,2025-02-07,NHPC
5172,2025-02-07,LICI
5173,2025-02-07,OIL
5174,2025-02-08,HINDCOPPER
5175,2025-02-10,APOLLOHOSP
5176,2025-02-10,NYKAA
5177,2025-02-10,EICHERMOT
5178,2025-02-10,GRASIM
5179,2025-02-10,VBL
5180,2025-02-10,ESCORTS
5181,2025-02-10,BATAINDIA
5182,2025-02-10,NATIONALUM
5183,2025-02-11,IRCTC
5184,2025-02-11,LUPIN
5185,2025-02-11,NBCC
5186,2025-02-11,IDEA
5187,2025-02-11,SAIL
5188,2025-02-11,BSOFT
5189,2025-02-11,BERGEPAINT
5190,2025-02-12,MUTHOOTFIN
5191,2025-02-12,ASHOKLEY
5192,2025-02-12,SIEMENS
5193,2025-02-12,HAL
5194,2025-02-12,CROMPTON
5195,2025-02-12,JUBLFOOD
5196,2025-02-12,BHARATFORG
5197,2025-02-13,MANAPPURAM
5198,2025-02-13,SJVN
5199,2025-02-13,PFC
5200,2025-02-13,UBL
5201,2025-02-13,IPCALAB
5202,2025-02-13,DEEPAKNTR
5203,2025-02-13,HINDALCO
5204,2025-02-14,ABFRL
5205,2025-02-14,GNFC
5206,2025-02-14,GLENMARK
5207,2025-02-14,MOTHERSON
5208,2025-02-17,ABB
