,symbol,ppf,pcf,ccb,4l_f
0,AARTIIND,-20,-20.0,-20,-20
1,ABB,-20,-20.0,-20,-20
2,ABBOTINDIA,-20,-20.0,-20,-20
3,ABCAPITAL,-20,-20.0,-20,-20
4,ABFRL,-20,-20.0,-20,-20
5,ACC,-20,-20.0,-20,-20
6,ADANIENT,-20,-20.0,-20,-20
7,ADANIPORTS,-20,-20.0,-20,-20
8,ALKEM,-20,-19.5,-20,-20
9,AMBUJACEM,-20,-20.0,-20,-20
10,APOLLOHOSP,-20,-20.0,-20,-20
11,APOLLOTYRE,-20,-20.0,-20,-20
12,ASHOKLEY,-20,-20.0,-20,-20
13,ASIANPAINT,-20,-19.5,-20,-20
14,ASTRAL,-20,-20.0,-20,-20
15,ATUL,-20,-20.0,-20,-20
16,AUBANK,-20,-20.0,-20,-20
17,AUROPHARMA,-20,-20.0,-20,-20
18,AXISBANK,-20,-20.0,-20,-20
19,BAJAJ-AUTO,-20,-20.0,-20,-20
20,BAJAJFINSV,-20,-20.0,-20,-20
21,BAJFINANCE,-20,-20.0,-20,-20
22,BALKRISIND,-20,-20.0,-20,-20
23,BALRAMCHIN,-20,-20.0,-20,-20
24,BANDHANBNK,-20,-20.0,-20,-20
25,BANKBARODA,-20,-20.0,-20,-20
26,BANKNIFTY,-20,-20.0,-20,-20
27,BATAINDIA,-20,-20.0,-20,-20
28,BEL,-20,-20.0,-20,-20
29,BERGEPAINT,-20,-20.0,-20,-20
30,BHARATFORG,-20,-20.0,-20,-20
31,BHARTIARTL,-20,-20.0,-20,-20
32,BHEL,-20,-25.0,-20,-20
33,BIOCON,-20,-20.0,-20,-20
34,BOSCHLTD,-20,-20.0,-20,-20
35,BPCL,-20,-20.0,-20,-20
36,BRITANNIA,-20,-20.0,-20,-20
37,BSOFT,-20,-20.0,-20,-20
38,CANBK,-20,-20.0,-20,-20
39,CANFINHOME,-20,-20.0,-20,-20
40,CHAMBLFERT,-20,-20.0,-20,-20
41,CHOLAFIN,-20,-20.0,-20,-20
42,CIPLA,-20,-20.0,-20,-20
43,COALINDIA,-20,-20.0,-20,-20
44,COFORGE,-20,-20.0,-20,-20
45,COLPAL,-20,-20.0,-20,-20
46,CONCOR,-20,-20.0,-20,-20
47,COROMANDEL,-20,-20.0,-20,-20
48,CROMPTON,-20,-20.0,-20,-20
49,CUB,-20,-20.0,-20,-20
50,CUMMINSIND,-20,-20.0,-20,-20
51,DABUR,-20,-20.0,-20,-20
52,DALBHARAT,-20,-20.0,-20,-20
53,DEEPAKNTR,-20,-20.0,-20,-20
54,DIVISLAB,-20,-20.0,-20,-20
55,DIXON,-20,-20.0,-20,-20
56,DLF,-20,-20.0,-20,-20
57,DRREDDY,-20,-20.0,-20,-20
58,EICHERMOT,-20,-20.0,-20,-20
59,ESCORTS,-20,-20.0,-20,-20
60,EXIDEIND,-20,-20.0,-20,-20
61,FEDERALBNK,-20,-20.0,-20,-20
62,GAIL,-20,-20.0,-20,-20
63,GLENMARK,-20,-20.0,-20,-20
64,GMRINFRA,-20,-20.0,-20,-20
65,GNFC,-20,-20.0,-20,-20
66,GODREJCP,-20,-20.0,-20,-20
67,GODREJPROP,-20,-20.0,-20,-20
68,GRANULES,-20,-20.0,-20,-20
69,GRASIM,-20,-20.0,-20,-20
70,GUJGASLTD,-20,-20.0,-20,-20
71,HAL,-20,-20.0,-20,-20
72,HAVELLS,-20,-20.0,-20,-20
73,HCLTECH,-20,-20.0,-20,-20
74,HDFCAMC,-20,-20.0,-20,-20
75,HDFCBANK,-20,-20.0,-20,-20
76,HDFCLIFE,-20,-20.0,-20,-20
77,HEROMOTOCO,-20,-20.0,-20,-20
78,HINDALCO,-20,-20.0,-20,-20
79,HINDCOPPER,-20,-20.0,-20,-20
80,HINDPETRO,-20,-20.0,-20,-20
81,HINDUNILVR,-20,-20.0,-20,-20
82,ICICIBANK,-20,-20.0,-20,-20
83,ICICIGI,-20,-20.0,-20,-20
84,ICICIPRULI,-20,-20.0,-20,-20
85,IDEA,-20,-20.0,-20,-20
86,IDFC,-20,-20.0,-20,-20
87,IDFCFIRSTB,-20,-20.0,-20,-20
88,IEX,-20,-20.0,-20,-20
89,IGL,-20,-20.0,-20,-20
90,INDHOTEL,-20,-20.0,-20,-20
91,INDIACEM,-20,-20.0,-20,-20
92,INDIAMART,-20,-20.0,-20,-20
93,INDIGO,-20,-20.0,-20,-20
94,INDUSINDBK,-20,-20.0,-20,-20
95,INDUSTOWER,-20,-20.0,-20,-20
96,INFY,-20,-20.0,-20,-20
97,IOC,-20,-20.0,-20,-20
98,IPCALAB,-20,-20.0,-20,-20
99,IRCTC,-20,-20.0,-20,-20
100,ITC,-20,-20.0,-20,-20
101,JINDALSTEL,-20,-20.0,-20,-20
102,JKCEMENT,-20,-20.0,-20,-20
103,JSWSTEEL,-20,-20.0,-20,-20
104,JUBLFOOD,-20,-20.0,-20,-20
105,KOTAKBANK,-20,-20.0,-20,-20
106,LALPATHLAB,-20,-20.0,-20,-20
107,LAURUSLABS,-20,-20.0,-20,-20
108,LICHSGFIN,-20,-20.0,-20,-20
109,LT,-20,-20.0,-20,-20
110,LTF,-20,-20.0,-20,-20
111,LTIM,-20,-20.0,-20,-20
112,LTTS,-20,-20.0,-20,-20
113,LUPIN,-20,-20.0,-20,-20
114,M&M,-20,-20.0,-20,-20
115,M&MFIN,-20,-20.0,-20,-20
116,MANAPPURAM,-20,-20.0,-20,-20
117,MARICO,-20,-20.0,-20,-20
118,MARUTI,-20,-20.0,-20,-20
119,MCX,-20,-20.0,-20,-20
120,METROPOLIS,-20,-20.0,-20,-20
121,MFSL,-20,-20.0,-20,-20
122,MGL,-20,-20.0,-20,-20
123,MOTHERSON,-20,-20.0,-20,-20
124,MPHASIS,-20,-20.0,-20,-20
125,MRF,-20,-20.0,-20,-20
126,MUTHOOTFIN,-20,-20.0,-20,-20
127,NATIONALUM,-20,-20.0,-20,-20
128,NAUKRI,-20,-20.0,-20,-20
129,NAVINFLUOR,-20,-20.0,-20,-20
130,NESTLEIND,-20,-20.0,-20,-20
131,NIFTY,-20,-20.0,-20,-20
132,NMDC,-20,-20.0,-20,-20
133,NTPC,-20,-20.0,-20,-20
134,OBEROIRLTY,-20,-20.0,-20,-20
135,OFSS,-20,-20.0,-20,-20
136,ONGC,-20,-20.0,-20,-20
137,PAGEIND,-20,-20.0,-20,-20
138,PEL,-20,-20.0,-20,-20
139,PERSISTENT,-20,-20.0,-20,-20
140,PETRONET,-20,-20.0,-20,-20
141,PFC,-20,-20.0,-20,-20
142,PIDILITIND,-20,-20.0,-20,-20
143,PIIND,-20,-20.0,-20,-20
144,PNB,-20,-20.0,-20,-20
145,POLYCAB,-20,-20.0,-20,-20
146,POWERGRID,-20,-20.0,-20,-20
147,PVRINOX,-20,-20.0,-20,-20
148,RAMCOCEM,-20,-20.0,-20,-20
149,RBLBANK,-20,-20.0,-20,-20
150,RECLTD,-20,-20.0,-20,-20
151,RELIANCE,-20,-20.0,-20,-20
152,SAIL,-20,-20.0,-20,-20
153,SBICARD,-20,-20.0,-20,-20
154,SBILIFE,-20,-20.0,-20,-20
155,SBIN,-20,-20.0,-20,-20
156,SHREECEM,-20,-20.0,-20,-20
157,SHRIRAMFIN,-20,-20.0,-20,-20
158,SIEMENS,-20,-20.0,-20,-20
159,SRF,-20,-20.0,-20,-20
160,SUNPHARMA,-20,-20.0,-20,-20
161,SUNTV,-20,-20.0,-20,-20
162,SYNGENE,-20,-20.0,-20,-20
163,TATACHEM,-20,-20.0,-20,-20
164,TATACOMM,-20,-20.0,-20,-20
165,TATACONSUM,-20,-20.0,-20,-20
166,TATAMOTORS,-20,-20.0,-20,-20
167,TATAPOWER,-20,-20.0,-20,-20
168,TATASTEEL,-20,-20.0,-20,-20
169,TCS,-20,-20.0,-20,-20
170,TECHM,-20,-20.0,-20,-20
171,TITAN,-20,-20.0,-20,-20
172,TORNTPHARM,-20,-20.0,-20,-20
173,TRENT,-20,-20.0,-20,-20
174,TVSMOTOR,-20,-20.0,-20,-20
175,UBL,-20,-20.0,-20,-20
176,ULTRACEMCO,-20,-20.0,-20,-20
177,UNITDSPR,-20,-20.0,-20,-20
178,UPL,-20,-20.0,-20,-20
179,VEDL,-20,-20.0,-20,-20
180,VOLTAS,-20,-20.0,-20,-20
181,WIPRO,-20,-20.0,-20,-20
182,ZYDUSLIFE,-20,-20.0,-20,-20
